date
2024-02-07 15:12:01.000000
2024-02-07 15:12:01.007000
2024-02-07 15:12:01.014000
2024-02-07 15:12:01.021000
2024-02-07 15:12:01.028000
2024-02-07 15:12:01.035000
2024-02-07 15:12:01.042000
2024-02-07 15:12:01.049000
2024-02-07 15:12:01.056000
2024-02-07 15:12:01.063000
2024-02-07 15:12:01.070000
2024-02-07 15:12:01.077000
2024-02-07 15:12:01.084000
2024-02-07 15:12:01.091000
2024-02-07 15:12:01.098000
2024-02-07 15:12:01.105000
2024-02-07 15:12:01.112000
2024-02-07 15:12:01.119000
2024-02-07 15:12:01.126000
2024-02-07 15:12:01.133000
2024-02-07 15:12:01.140000
2024-02-07 15:12:01.147000
2024-02-07 15:12:01.154000
2024-02-07 15:12:01.161000
2024-02-07 15:12:01.168000
2024-02-07 15:12:01.175000
2024-02-07 15:12:01.182000
2024-02-07 15:12:01.189000
2024-02-07 15:12:01.196000
2024-02-07 15:12:01.203000
2024-02-07 15:12:01.210000
2024-02-07 15:12:01.217000
2024-02-07 15:12:01.224000
2024-02-07 15:12:01.231000
2024-02-07 15:12:01.238000
2024-02-07 15:12:01.245000
2024-02-07 15:12:01.252000
2024-02-07 15:12:01.259000
2024-02-07 15:12:01.266000
2024-02-07 15:12:01.273000
2024-02-07 15:12:01.280000
2024-02-07 15:12:01.287000
2024-02-07 15:12:01.294000
2024-02-07 15:12:01.301000
2024-02-07 15:12:01.308000
2024-02-07 15:12:01.315000
2024-02-07 15:12:01.322000
2024-02-07 15:12:01.329000
2024-02-07 15:12:01.336000
2024-02-07 15:12:01.343000
2024-02-07 15:12:01.350000
2024-02-07 15:12:01.357000
2024-02-07 15:12:01.364000
2024-02-07 15:12:01.371000
2024-02-07 15:12:01.378000
2024-02-07 15:12:01.385000
2024-02-07 15:12:01.392000
2024-02-07 15:12:01.399000
2024-02-07 15:12:01.406000
2024-02-07 15:12:01.413000
2024-02-07 15:12:01.420000
2024-02-07 15:12:01.427000
2024-02-07 15:12:01.434000
2024-02-07 15:12:01.441000
2024-02-07 15:12:01.448000
2024-02-07 15:12:01.455000
2024-02-07 15:12:01.462000
2024-02-07 15:12:01.469000
2024-02-07 15:12:01.476000
2024-02-07 15:12:01.483000
2024-02-07 15:12:01.490000
2024-02-07 15:12:01.497000
2024-02-07 15:12:01.504000
2024-02-07 15:12:01.511000
2024-02-07 15:12:01.518000
2024-02-07 15:12:01.525000
2024-02-07 15:12:01.532000
2024-02-07 15:12:01.539000
2024-02-07 15:12:01.546000
2024-02-07 15:12:01.553000
2024-02-07 15:12:01.560000
2024-02-07 15:12:01.567000
2024-02-07 15:12:01.574000
2024-02-07 15:12:01.581000
2024-02-07 15:12:01.588000
2024-02-07 15:12:01.595000
2024-02-07 15:12:01.602000
2024-02-07 15:12:01.609000
2024-02-07 15:12:01.616000
2024-02-07 15:12:01.623000
2024-02-07 15:12:01.630000
2024-02-07 15:12:01.637000
2024-02-07 15:12:01.644000
2024-02-07 15:12:01.651000
2024-02-07 15:12:01.658000
2024-02-07 15:12:01.665000
2024-02-07 15:12:01.672000
2024-02-07 15:12:01.679000
2024-02-07 15:12:01.686000
2024-02-07 15:12:01.693000
2024-02-07 15:12:01.700000
